NO,Administrative district,Riverside Park,Location,Type,Remark,Longitude,Latitude,Long_TWD97,Lat_WD97
1,大同區,延平河濱公園,大稻埕碼頭廣場,景觀,,121.5079608,25.05719074,301250.24,2772208.37
2,大同區,延平河濱公園,大稻埕碼頭廣場,景觀,,121.5079553,25.05716852,301249.7,2772205.91
3,大同區,延平河濱公園,大稻埕碼頭廣場,景觀,,121.5079536,25.05714609,301249.54,2772203.43
4,大同區,延平河濱公園,自行車租借站旁,景觀,,121.5076358,25.05575463,301218.05,2772049.18
5,大同區,延平河濱公園,自行車租借站旁,景觀,,121.5076081,25.05575463,301215.25,2772049.17
6,大同區,延平河濱公園,自行車租借站旁,景觀,,121.5075803,25.05576019,301212.45,2772049.77
7,大同區,延平河濱公園,自行車租借站旁,景觀,,121.5075581,25.0557713,301210.2,2772051
8,大同區,延平河濱公園,自行車租借站旁,景觀,,121.5075414,25.05576852,301208.52,2772050.68
9,大同區,延平河濱公園,延平宮旁,景觀,,121.5072817,25.054255,301182.94,2771882.94
10,大同區,延平河濱公園,延平宮旁,景觀,,121.5072706,25.05421334,301181.84,2771878.32
11,大同區,延平河濱公園,延平宮旁,景觀,,121.5072567,25.05411889,301180.48,2771867.85
12,大同區,延平河濱公園,延平宮旁,景觀,,121.5072456,25.05409111,301179.37,2771864.77
13,大同區,延平河濱公園,天水宮旁,景觀,,121.508218,25.057789,301275.9451,2772274.738
14,士林區,社子島沿線(待命名),社子島頭,景觀,,121.466517,25.110257,297048.4574,2778071.221
15,士林區,社子島沿線(待命名),社子島頭,景觀,,121.466472,25.110251,297043.9213,2778070.54
16,士林區,社子島沿線(待命名),社子島頭,景觀,,121.466435,25.110249,297040.1906,2778070.306
17,士林區,百齡左岸河濱公園,社子棒球場,景觀,,121.507086,25.093397,301146.9372,2776218.456
18,士林區,百齡左岸河濱公園,社子棒球場,景觀,,121.507155,25.093386,301153.9015,2776217.264
19,北投區,關渡水岸公園,關渡碼頭自行車租借站旁,景觀,,121.4620011,25.12163185,296588.71,2779329.6
20,北投區,關渡水岸公園,關渡碼頭自行車租借站旁,景觀,,121.4620008,25.12160597,296588.69,2779326.73
21,北投區,關渡水岸公園,關渡碼頭自行車租借站旁,景觀,,121.4619996,25.12158193,296588.58,2779324.07
22,北投區,關渡水岸公園,關渡碼頭自行車租借站旁,景觀,,121.461998,25.12155975,296588.42,2779321.61
23,北投區,關渡水岸公園,關渡碼頭自行車租借站旁,景觀,,121.4619968,25.12153171,296588.31,2779318.51
24,士林區,百齡右岸河濱公園,三腳渡龍舟公園旁,景觀,,121.518013,25.080423,302254.6106,2774785.559
25,士林區,百齡右岸河濱公園,三腳渡龍舟公園旁,景觀,,121.51797,25.080387,302250.2882,2774781.555
26,松山區,成美左岸河濱公園,錫口碼頭,景觀,,121.575562,25.051377,308073.6831,2771591.724
27,松山區,成美左岸河濱公園,錫口碼頭,景觀,,121.575512,25.051361,308068.6456,2771589.93
28,松山區,成美左岸河濱公園,錫口碼頭,景觀,,121.575473,25.051329,308064.7255,2771586.369
29,松山區,成美左岸河濱公園,錫口碼頭,景觀,,121.575419,25.051316,308059.283,2771584.905
30,松山區,觀山河濱公園,觀山租借站旁,景觀,,121.569409,25.071416,307443.4936,2773808.742
31,松山區,觀山河濱公園,觀山租借站旁,景觀,,121.569448,25.071419,307447.4267,2773809.091
32,松山區,觀山河濱公園,觀山租借站旁,景觀,,121.569484,25.07141,307451.0627,2773808.109
33,松山區,觀山河濱公園,觀山租借站旁,景觀,,121.569517,25.071416,307454.3891,2773808.788
34,松山區,觀山河濱公園,觀山租借站旁,景觀,,121.569549,25.071419,307457.616,2773809.133
35,中山區,大佳河濱公園,兒童遊戲區,景觀,,121.535869,25.074578,304058.4359,2774145.154
36,中山區,大佳河濱公園,兒童遊戲區,景觀,,121.535919,25.074553,304063.4909,2774142.404
37,中山區,大佳河濱公園,兒童遊戲區,景觀,,121.535899,25.074617,304061.4452,2774149.486
38,中山區,大佳河濱公園,兒童遊戲區,景觀,,121.5359224,25.07457442,304063.82,2774144.78
39,中山區,大佳河濱公園,碼頭南側,景觀,,121.5371953,25.07559831,304191.79,2774258.7
40,中山區,大佳河濱公園,碼頭南側,景觀,,121.5372366,25.07559831,304195.95,2774258.72
41,中山區,大佳河濱公園,碼頭南側,景觀,,121.5372816,25.07559831,304200.49,2774258.73
42,中山區,大佳河濱公園,碼頭南側,景觀,,121.5373303,25.07559661,304205.41,2774258.57
43,中山區,大佳河濱公園,近大直橋下游岸邊,景觀,,121.5430095,25.07554055,304778.35,2774254.65
44,中山區,大佳河濱公園,近大直橋下游岸邊,景觀,,121.543043,25.07553549,304781.74,2774254.1
45,中山區,大佳河濱公園,近大直橋下游岸邊,景觀,,121.5430766,25.07553323,304785.13,2774253.86
46,中山區,大佳河濱公園,近大直橋下游岸邊,景觀,,121.543107,25.0755338,304788.19,2774253.94
47,中山區,大佳河濱公園,近大直橋下游岸邊,景觀,,121.5431337,25.07553323,304790.89,2774253.89
48,中山區,大佳河濱公園,近大直橋下游岸邊,景觀,,121.5431592,25.07553098,304793.46,2774253.65
